agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,performance_index,cost_efficiency_ratio,autonomous_capability_score,DAY(timestamp),MONTH(timestamp),WEEKDAY(timestamp),YEAR(timestamp)
Project Manager,PaLM-2,Server,Text Processing,5.0,3.0,0.4788,0.6455,0.6573,22.42,383.35,308.9,53.1,True,0.4999,False,False,0.58236,50.20344827586207,64.993,24,12,1,2024
Marketing Assistant,Mixtral-8x7B,Hybrid,Decision Making,6.0,5.0,0.4833,0.566,0.5844,9.3,127.38,372.4,84.9,True,0.558,False,False,0.53844,69.03076923076924,89.06,24,12,1,2024
QA Tester,Mixtral-8x7B,Server,Communication,6.0,6.0,0.4635,0.5597,0.58455,41.09,630.935,408.65,69.4,False,0.53905,False,False,0.5292349999999999,27.966852002794596,102.434,24,12,1,2024
Code Assistant,CodeT5+,Hybrid,Creative Writing,8.0,6.0,0.3574,0.4888,0.4742,43.85,1847.43,488.2,75.3,True,0.3809,True,False,0.4318599999999999,21.06634146341463,86.663,24,12,1,2024
QA Tester,Falcon-180B,Edge,Planning & Scheduling,3.0,4.0,0.5706,0.7137,0.7209,23.02,254.3,278.4,15.1,True,0.6717,False,True,0.65862,57.27130434782609,87.019,24,12,1,2024
Email Manager,Transformer-XL,Edge,Communication,5.0,7.0,0.5125,0.5315,0.6546,11.04,352.82,346.3,66.5,True,0.6045,False,True,0.5608299999999999,69.23827160493826,112.315,24,12,1,2024
Project Manager,InstructGPT,Desktop,Text Processing,4.0,2.0,0.6605,0.728,0.712,14.93,674.7,326.1,62.6,True,0.6991,False,False,0.6961999999999999,75.67391304347825,68.93700000000001,24,12,1,2024
Sales Assistant,GPT-4o,Edge,Creative Writing,8.0,8.0,0.3,0.4,0.4925,48.55,517.5,506.7,87.6,True,0.3682,True,True,0.38775,17.387892376681613,105.774,24,12,1,2024
Project Manager,LLaMA-3,Edge,Learning & Adaptation,8.0,8.0,0.301,0.4148,0.4506,122.3,955.46,524.6,74.5,True,0.3322,False,True,0.38002,8.085531914893618,103.254,24,12,1,2024
Customer Service,Claude-3.5,Hybrid,Research & Summarization,7.0,6.0,0.5196,0.5161,0.5407,47.62,1236.88,503.7,71.5,True,0.6036,False,True,0.52488,23.967123287671235,102.252,24,12,1,2024
Document Processor,Transformer-XL,Edge,Decision Making,5.0,7.0,0.5192,0.6209,0.5956,35.85,986.52,316.2,57.0,True,0.5542,False,True,0.57263,35.56708074534161,108.794,24,12,1,2024
Sales Assistant,Transformer-XL,Cloud,Planning & Scheduling,3.0,5.0,0.6438,0.693,0.6946,39.15,442.2,266.1,39.6,True,0.693,False,False,0.6738,40.34730538922155,98.51,24,12,1,2024
Customer Service,Claude-3.5,Mobile,Planning & Scheduling,4.0,5.0,0.6147,0.7148,0.6557,39.81,2117.33,355.2,39.0,True,0.6601,False,True,0.65703,36.91179775280899,96.207,24,12,1,2024
Translation Agent,Mixtral-8x7B,Hybrid,Creative Writing,5.0,6.0,0.4558,0.5894,0.6593,42.46,597.04,304.7,46.6,True,0.5822,False,True,0.55693,30.60054945054945,100.754,24,12,1,2024
Document Processor,CodeT5+,Mobile,Data Analysis,8.0,10.0,0.3414,0.5009,0.5439,99.87,373.95,464.5,92.1,True,0.4561,True,True,0.4499999999999999,11.568123393316194,131.927,24,12,1,2024
HR Recruiter,InstructGPT,Edge,Communication,3.0,4.0,0.6555,0.7266,0.7687,23.68,271.04,305.0,16.7,True,0.7632,False,True,0.71079,59.73025210084033,93.424,24,12,1,2024
Code Assistant,Claude-3.5,Server,Text Processing,7.0,6.0,0.3949,0.5681,0.4982,15.99,1102.45,444.3,74.9,True,0.5419,False,False,0.4778499999999999,44.24537037037036,97.933,24,12,1,2024
